shape,credit,songs,removed,decision,harvested,candidates,examples,confidence,labels,matched_label
trimmed:featured,Jessie J feat. B.o.B,1,feat. B.o.B,,"Q18814 Jessie J [spotify, mb]","Q18814 Jessie J [human, spotify, mb, via 'Jessie J']",Price Tag (2011),single-shortened,Jessie J feat. B.o.B | Jessie J,Jessie J
trimmed:featured,Jimmy Dorsey feat. Kitty Kallen,1,feat. Kitty Kallen,,Q560716 Jimmy Dorsey [mb],"Q560716 Jimmy Dorsey [human, mb, via 'Jimmy Dorsey']",They're Either Too Young or Too Old (1943),single-shortened,Jimmy Dorsey feat. Kitty Kallen | Jimmy Dorsey,Jimmy Dorsey
trimmed:featured,John Mellencamp with Me'shell Ndegeocello,1,with Me'shell Ndegeocello,,"Q345431 John Mellencamp [spotify, mb]","Q345431 John Mellencamp [human, spotify, mb, via 'John Mellencamp']",Wild Night (1994),single-shortened,John Mellencamp with Me'shell Ndegeocello | John Mellencamp,John Mellencamp
trimmed:featured,Justin Bieber feat. Chance the Rapper,1,feat. Chance the Rapper,,"Q34086 Justin Bieber [spotify, mb]","Q34086 Justin Bieber [human, spotify, mb, via 'Justin Bieber']",Holy (2021),single-shortened,Justin Bieber feat. Chance the Rapper | Justin Bieber,Justin Bieber
trimmed:featured,Justin Bieber feat. Daniel Caesar & Giveon,1,feat. Daniel Caesar & Giveon,,"Q34086 Justin Bieber [spotify, mb]","Q34086 Justin Bieber [human, spotify, mb, via 'Justin Bieber']",Peaches (2021),single-shortened,Justin Bieber feat. Daniel Caesar & Giveon | Justin Bieber,Justin Bieber
trimmed:featured,Justin Bieber feat. Ludacris,1,feat. Ludacris,,"Q34086 Justin Bieber [spotify, mb]","Q34086 Justin Bieber [human, spotify, mb, via 'Justin Bieber']",Baby (2010),single-shortened,Justin Bieber feat. Ludacris | Justin Bieber,Justin Bieber
trimmed:featured,Justin Bieber feat. Quavo,1,feat. Quavo,,"Q34086 Justin Bieber [spotify, mb]","Q34086 Justin Bieber [human, spotify, mb, via 'Justin Bieber']",Intentions (2020),single-shortened,Justin Bieber feat. Quavo | Justin Bieber,Justin Bieber
trimmed:featured,Justin Timberlake feat. Jay-Z,1,feat. Jay-Z,,"Q43432 Justin Timberlake [spotify, mb]","Q43432 Justin Timberlake [human/trademark, spotify, mb, via 'Justin Timberlake']",Suit & Tie (2013),single-shortened,Justin Timberlake feat. Jay-Z | Justin Timberlake,Justin Timberlake
trimmed:featured,Justin Timberlake featuring T.I.,1,featuring T.I.,,"Q43432 Justin Timberlake [spotify, mb]","Q43432 Justin Timberlake [human/trademark, spotify, mb, via 'Justin Timberlake']",My Love (2007),single-shortened,Justin Timberlake featuring T.I. | Justin Timberlake,Justin Timberlake
trimmed:featured,Juvenile featuring Soulja Slim,1,featuring Soulja Slim,,"Q724501 Juvenile [spotify, mb]","Q724501 Juvenile [human, spotify, mb, via 'Juvenile']",Slow Motion (2004),single-shortened,Juvenile featuring Soulja Slim | Juvenile,Juvenile
trimmed:featured,Kanye West featuring Jamie Foxx,1,featuring Jamie Foxx,,"Q15935 Kanye West [spotify, mb]","Q15935 Kanye West [human, spotify, mb, via 'Kanye West']",Gold Digger (2005),single-shortened,Kanye West featuring Jamie Foxx | Kanye West,Kanye West
trimmed:featured,Kardinal Offishall featuring Akon,1,featuring Akon,,"Q371238 Kardinal Offishall [spotify, mb]","Q371238 Kardinal Offishall [human, spotify, mb, via 'Kardinal Offishall']",Dangerous (2008),single-shortened,Kardinal Offishall featuring Akon | Kardinal Offishall,Kardinal Offishall
trimmed:featured,Katy Perry feat. Juicy J,1,feat. Juicy J,,"Q42493 Katy Perry [spotify, mb]","Q42493 Katy Perry [human, spotify, mb, via 'Katy Perry']",Dark Horse (2014),single-shortened,Katy Perry feat. Juicy J | Katy Perry,Katy Perry
trimmed:featured,Katy Perry feat. Kanye West,1,feat. Kanye West,,"Q42493 Katy Perry [spotify, mb]","Q42493 Katy Perry [human, spotify, mb, via 'Katy Perry']",E.T. (2011),single-shortened,Katy Perry feat. Kanye West | Katy Perry,Katy Perry
trimmed:featured,Katy Perry feat. Snoop Dogg,1,feat. Snoop Dogg,,"Q42493 Katy Perry [spotify, mb]","Q42493 Katy Perry [human, spotify, mb, via 'Katy Perry']",California Gurls (2010),single-shortened,Katy Perry feat. Snoop Dogg | Katy Perry,Katy Perry
trimmed:featured,Keith Sweat featuring Athena Cage,1,featuring Athena Cage,,"Q946728 Keith Sweat [spotify, mb]","Q946728 Keith Sweat [human, spotify, mb, via 'Keith Sweat']",Nobody (1997),single-shortened,Keith Sweat featuring Athena Cage | Keith Sweat,Keith Sweat
trimmed:featured,Kendrick Lamar feat. Lefty Gunplay,1,feat. Lefty Gunplay,,"Q130798 Kendrick Lamar [spotify, mb]","Q130798 Kendrick Lamar [human, spotify, mb, via 'Kendrick Lamar']",TV Off (2025),single-shortened,Kendrick Lamar feat. Lefty Gunplay | Kendrick Lamar,Kendrick Lamar
trimmed:featured,Keri Hilson featuring Kanye West and Ne-Yo,1,featuring Kanye West and Ne-Yo,,"Q152453 Keri Hilson [spotify, mb]","Q152453 Keri Hilson [human, spotify, mb, via 'Keri Hilson']",Knock You Down (2009),single-shortened,Keri Hilson featuring Kanye West and Ne-Yo | Keri Hilson,Keri Hilson
trimmed:featured,Kid Rock featuring Sheryl Crow,1,featuring Sheryl Crow,,"Q158175 Kid Rock [spotify, mb]","Q158175 Kid Rock [human, spotify, mb, via 'Kid Rock']",Picture (2003),single-shortened,Kid Rock featuring Sheryl Crow | Kid Rock,Kid Rock
trimmed:featured,Kygo x Selena Gomez,1,x Selena Gomez,,"Q16845512 Kygo [spotify, mb]","Q16845512 Kygo [human, spotify, mb, via 'Kygo']",It Ain't Me (2017),single-shortened,Kygo x Selena Gomez | Kygo,Kygo
trimmed:featured,Kyle feat. Lil Yachty,1,feat. Lil Yachty,,"Q28606665 Kyle [spotify, mb]","Q28606665 Kyle [human, spotify, mb, via 'Kyle']",iSpy (2017),single-shortened,Kyle feat. Lil Yachty | Kyle,Kyle
trimmed:featured,LL Cool J featuring Boyz II Men,1,featuring Boyz II Men,,"Q52440 LL Cool J [spotify, mb]","Q52440 LL Cool J [human, spotify, mb, via 'LL Cool J']",Hey Lover (1996),single-shortened,LL Cool J featuring Boyz II Men | LL Cool J,LL Cool J
trimmed:featured,LMFAO feat. Lauren Bennett & GoonRock,1,feat. Lauren Bennett & GoonRock,,"Q48978 LMFAO [spotify, mb]","Q48978 LMFAO [musical duo/male duo, spotify, mb, via 'LMFAO']",Party Rock Anthem (2011),single-shortened,LMFAO feat. Lauren Bennett & GoonRock | LMFAO,LMFAO
trimmed:featured,Lady Gaga feat. Beyonce,1,feat. Beyonce,,"Q19848 Lady Gaga [spotify, mb]","Q19848 Lady Gaga [human, spotify, mb, via 'Lady Gaga']",Telephone (2010),single-shortened,Lady Gaga feat. Beyonce | Lady Gaga,Lady Gaga
trimmed:featured,Lady Gaga featuring Colby O'Donis,1,featuring Colby O'Donis,,"Q19848 Lady Gaga [spotify, mb]","Q19848 Lady Gaga [human, spotify, mb, via 'Lady Gaga']",Just Dance (2009),single-shortened,Lady Gaga featuring Colby O'Donis | Lady Gaga,Lady Gaga
trimmed:featured,Lil Durk feat. J. Cole,1,feat. J. Cole,,"Q2899818 Lil Durk [spotify, mb]","Q2899818 Lil Durk [human, spotify, mb, via 'Lil Durk']",All My Life (2023),single-shortened,Lil Durk feat. J. Cole | Lil Durk,Lil Durk
trimmed:featured,Lil Jon & the East Side Boyz featuring Usher and Ludacris,1,featuring Usher and Ludacris,,Q62027441 Lil Jon & the East Side Boyz [mb],"Q62027441 Lil Jon & the East Side Boyz [rap group, mb, via 'Lil Jon & the East Side Boyz']
Q294449 Lil Jon [human, spotify, mb, via 'Lil Jon']",Lovers & Friends (2005),single-shortened,Lil Jon & the East Side Boyz featuring Usher and Ludacris | Lil Jon & the East Side Boyz | Lil Jon,Lil Jon & the East Side Boyz
trimmed:featured,Lil Jon & the East Side Boyz featuring Ying Yang Twins,1,featuring Ying Yang Twins,,Q62027441 Lil Jon & the East Side Boyz [mb],"Q62027441 Lil Jon & the East Side Boyz [rap group, mb, via 'Lil Jon & the East Side Boyz']
Q294449 Lil Jon [human, spotify, mb, via 'Lil Jon']",Get Low (2003),single-shortened,Lil Jon & the East Side Boyz featuring Ying Yang Twins | Lil Jon & the East Side Boyz | Lil Jon,Lil Jon & the East Side Boyz
trimmed:featured,Lil Jon featuring E-40 and Sean Paul,1,featuring E-40 and Sean Paul,,"Q294449 Lil Jon [spotify, mb]","Q294449 Lil Jon [human, spotify, mb, via 'Lil Jon']",Snap Yo Fingers (2006),single-shortened,Lil Jon featuring E-40 and Sean Paul | Lil Jon,Lil Jon
trimmed:featured,Lil Nas X feat. Billy Ray Cyrus,1,feat. Billy Ray Cyrus,,"Q62591281 Lil Nas X [spotify, mb]","Q62591281 Lil Nas X [human, spotify, mb, via 'Lil Nas X']",Old Town Road (2019),single-shortened,Lil Nas X feat. Billy Ray Cyrus | Lil Nas X,Lil Nas X
trimmed:featured,Lil Wayne featuring Static Major,1,featuring Static Major,,"Q15615 Lil Wayne [spotify, mb]","Q15615 Lil Wayne [human, spotify, mb, via 'Lil Wayne']",Lollipop (2008),single-shortened,Lil Wayne featuring Static Major | Lil Wayne,Lil Wayne
trimmed:featured,Lil' Flip featuring Lea,1,featuring Lea,,"Q955684 Lil' Flip [spotify, mb]","Q955684 Lil' Flip [human, spotify, mb, via ""Lil' Flip""]",Sunshine (2004),single-shortened,Lil' Flip featuring Lea | Lil' Flip,Lil' Flip
trimmed:featured,Lil' Kim featuring 50 Cent,1,featuring 50 Cent,,"Q229379 Lil' Kim [spotify, mb]","Q229379 Lil' Kim [human, spotify, mb, via ""Lil' Kim""]",Magic Stick (2003),single-shortened,Lil' Kim featuring 50 Cent | Lil' Kim,Lil' Kim
trimmed:featured,Linda Ronstadt featuring Aaron Neville,1,featuring Aaron Neville,,"Q229375 Linda Ronstadt [spotify, mb]","Q229375 Linda Ronstadt [human, spotify, mb, via 'Linda Ronstadt']",Don't Know Much (1990),single-shortened,Linda Ronstadt featuring Aaron Neville | Linda Ronstadt,Linda Ronstadt
trimmed:featured,MFSB featuring The Three Degrees,1,featuring The Three Degrees,,"Q1670579 MFSB [spotify, mb]","Q1670579 MFSB [musical group, spotify, mb, via 'MFSB']",TSOP (The Sound of Philadelphia) (1974),single-shortened,MFSB featuring The Three Degrees | MFSB,MFSB
trimmed:featured,Machine Gun Kelly feat. blackbear,1,feat. blackbear,,"Q1354843 Machine Gun Kelly [spotify, mb]","Q1354843 Machine Gun Kelly [human, spotify, mb, via 'Machine Gun Kelly']",My Ex's Best Friend (2021),single-shortened,Machine Gun Kelly feat. blackbear | Machine Gun Kelly,Machine Gun Kelly
trimmed:featured,Macklemore & Ryan Lewis feat. Ray Dalton,1,feat. Ray Dalton,,"Q16853301 Macklemore & Ryan Lewis [spotify, mb]","Q16853301 Macklemore & Ryan Lewis [musical duo/male duo, spotify, mb, via 'Macklemore & Ryan Lewis']
Q484874 MACKLEMORE [human, spotify, mb, via 'Macklemore']",Can't Hold Us (2013),single-shortened,Macklemore & Ryan Lewis feat. Ray Dalton | Macklemore & Ryan Lewis | Macklemore,Macklemore & Ryan Lewis
trimmed:featured,Macklemore & Ryan Lewis feat. Wanz,1,feat. Wanz,,"Q16853301 Macklemore & Ryan Lewis [spotify, mb]","Q16853301 Macklemore & Ryan Lewis [musical duo/male duo, spotify, mb, via 'Macklemore & Ryan Lewis']
Q484874 MACKLEMORE [human, spotify, mb, via 'Macklemore']",Thrift Shop (2013),single-shortened,Macklemore & Ryan Lewis feat. Wanz | Macklemore & Ryan Lewis | Macklemore,Macklemore & Ryan Lewis
trimmed:featured,Madonna featuring Justin Timberlake and Timbaland,1,featuring Justin Timberlake and Timbaland,,"Q1744 Madonna [spotify, mb]","Q1744 Madonna [human, spotify, mb, via 'Madonna']",4 Minutes (2008),single-shortened,Madonna featuring Justin Timberlake and Timbaland | Madonna,Madonna
trimmed:featured,Major Lazer feat. Justin Bieber & MO,1,feat. Justin Bieber & MO,,"Q2604214 Major Lazer [spotify, mb]","Q2604214 Major Lazer [musical group, spotify, mb, via 'Major Lazer']",Cold Water (2016),single-shortened,Major Lazer feat. Justin Bieber & MO | Major Lazer,Major Lazer
trimmed:featured,Mario Winans featuring Enya and P. Diddy,1,featuring Enya and P. Diddy,,Q1353962 Mario Winans [mb],"Q1353962 Mario Winans [human, mb, via 'Mario Winans']",I Don't Wanna Know (2004),single-shortened,Mario Winans featuring Enya and P. Diddy | Mario Winans,Mario Winans
trimmed:featured,Mark Ronson feat. Bruno Mars,1,feat. Bruno Mars,,"Q425821 Mark Ronson [spotify, mb]","Q425821 Mark Ronson [human, spotify, mb, via 'Mark Ronson']",Uptown Funk (2015),single-shortened,Mark Ronson feat. Bruno Mars | Mark Ronson,Mark Ronson
trimmed:featured,Marky Mark and the Funky Bunch featuring Loleatta Holloway,1,featuring Loleatta Holloway,,Q2670582 Marky Mark and the Funky Bunch [mb],"Q2670582 Marky Mark and the Funky Bunch [musical group, mb, via 'Marky Mark and the Funky Bunch']
Q321256 DJ Marky [human, spotify, mb, via 'Marky Mark']",Good Vibrations (1991),single-shortened,Marky Mark and the Funky Bunch featuring Loleatta Holloway | Marky Mark and the Funky Bunch | Marky Mark,Marky Mark and the Funky Bunch
trimmed:featured,Maroon 5 feat. Cardi B,1,feat. Cardi B,,"Q182223 Maroon 5 [spotify, mb]","Q182223 Maroon 5 [musical group, spotify, mb, via 'Maroon 5']",Girls Like You (2018),single-shortened,Maroon 5 feat. Cardi B | Maroon 5,Maroon 5
trimmed:featured,Maroon 5 feat. Christina Aguilera,1,feat. Christina Aguilera,,"Q182223 Maroon 5 [spotify, mb]","Q182223 Maroon 5 [musical group, spotify, mb, via 'Maroon 5']",Moves Like Jagger (2011),single-shortened,Maroon 5 feat. Christina Aguilera | Maroon 5,Maroon 5
trimmed:featured,Maroon 5 feat. Megan Thee Stallion,1,feat. Megan Thee Stallion,,"Q182223 Maroon 5 [spotify, mb]","Q182223 Maroon 5 [musical group, spotify, mb, via 'Maroon 5']",Beautiful Mistakes (2021),single-shortened,Maroon 5 feat. Megan Thee Stallion | Maroon 5,Maroon 5
trimmed:featured,Maroon 5 feat. Wiz Khalifa,1,feat. Wiz Khalifa,,"Q182223 Maroon 5 [spotify, mb]","Q182223 Maroon 5 [musical group, spotify, mb, via 'Maroon 5']",Payphone (2012),single-shortened,Maroon 5 feat. Wiz Khalifa | Maroon 5,Maroon 5
trimmed:featured,Mase featuring Total,1,featuring Total,,"Q126927 Mase [spotify, mb]","Q126927 Mase [human, spotify, mb, via 'Mase']",What You Want (1998),single-shortened,Mase featuring Total | Mase,Mase
trimmed:featured,Meek Mill feat. Drake,1,feat. Drake,,"Q1897911 Meek Mill [spotify, mb]","Q1897911 Meek Mill [human, spotify, mb, via 'Meek Mill']",Going Bad (2019),single-shortened,Meek Mill feat. Drake | Meek Mill,Meek Mill
trimmed:featured,Megan Thee Stallion feat. Beyonce,1,feat. Beyonce,,"Q59268408 Megan Thee Stallion [spotify, mb]","Q59268408 Megan Thee Stallion [human, spotify, mb, via 'Megan Thee Stallion']",Savage (2020),single-shortened,Megan Thee Stallion feat. Beyonce | Megan Thee Stallion,Megan Thee Stallion
trimmed:featured,Meghan Trainor feat. John Legend,1,feat. John Legend,,"Q17403494 Meghan Trainor [spotify, mb]","Q17403494 Meghan Trainor [human, spotify, mb, via 'Meghan Trainor']",Like I'm Gonna Lose You (2016),single-shortened,Meghan Trainor feat. John Legend | Meghan Trainor,Meghan Trainor
trimmed:featured,Migos feat. Lil Uzi Vert,1,feat. Lil Uzi Vert,,"Q15777045 Migos [spotify, mb]","Q15777045 Migos [musical group/musical trio, spotify, mb, via 'Migos']",Bad and Boujee (2017),single-shortened,Migos feat. Lil Uzi Vert | Migos,Migos
trimmed:featured,Missy Elliott featuring Ciara and Fatman Scoop,1,featuring Ciara and Fatman Scoop,,"Q155079 Missy Elliott [spotify, mb]","Q155079 Missy Elliott [human, spotify, mb, via 'Missy Elliott']",Lose Control (2005),single-shortened,Missy Elliott featuring Ciara and Fatman Scoop | Missy Elliott,Missy Elliott
trimmed:featured,Montell Jordan featuring Master P and Silkk the Shocker,1,featuring Master P and Silkk the Shocker,,Q1394645 Montell Jordan [mb],"Q1394645 Montell Jordan [human, mb, via 'Montell Jordan']",Let's Ride (1998),single-shortened,Montell Jordan featuring Master P and Silkk the Shocker | Montell Jordan,Montell Jordan
trimmed:featured,Morgan Wallen feat. ERNEST,1,feat. ERNEST,,"Q29561472 Morgan Wallen [spotify, mb]","Q29561472 Morgan Wallen [human, spotify, mb, via 'Morgan Wallen']",Cowgirls (2024),single-shortened,Morgan Wallen feat. ERNEST | Morgan Wallen,Morgan Wallen
trimmed:featured,Morgan Wallen feat. Tate McRae,1,feat. Tate McRae,,"Q29561472 Morgan Wallen [spotify, mb]","Q29561472 Morgan Wallen [human, spotify, mb, via 'Morgan Wallen']",What I Want (2025),single-shortened,Morgan Wallen feat. Tate McRae | Morgan Wallen,Morgan Wallen
trimmed:featured,Mustard feat. Roddy Ricch,1,feat. Roddy Ricch,,"Q15941115 Mustard [spotify, mb]","Q15941115 Mustard [human, spotify, mb, via 'Mustard']",Ballin' (2020),single-shortened,Mustard feat. Roddy Ricch | Mustard,Mustard
trimmed:featured,Nelly Furtado featuring Timbaland,1,featuring Timbaland,,"Q80424 Nelly Furtado [spotify, mb]","Q80424 Nelly Furtado [human, spotify, mb, via 'Nelly Furtado']",Promiscuous (2006),single-shortened,Nelly Furtado featuring Timbaland | Nelly Furtado,Nelly Furtado
trimmed:featured,Nina Sky featuring Jabba,1,featuring Jabba,,"Q1669590 Nina Sky [spotify, mb]","Q1669590 Nina Sky [musical group, spotify, mb, via 'Nina Sky']",Move Ya Body (2004),single-shortened,Nina Sky featuring Jabba | Nina Sky,Nina Sky
trimmed:featured,Orrin Tucker feat. Bonnie Baker,1,feat. Bonnie Baker,,Q1322266 Orrin Tucker [mb],"Q1322266 Orrin Tucker [human, mb, via 'Orrin Tucker']","Oh Johnny, Oh Johnny, Oh! (1940)",single-shortened,Orrin Tucker feat. Bonnie Baker | Orrin Tucker,Orrin Tucker
trimmed:featured,OutKast featuring Sleepy Brown,1,featuring Sleepy Brown,,"Q472595 OutKast [spotify, mb]","Q472595 OutKast [musical group, spotify, mb, via 'OutKast']",The Way You Move (2004),single-shortened,OutKast featuring Sleepy Brown | OutKast,OutKast
trimmed:featured,P. Diddy featuring Usher and Loon,1,featuring Usher and Loon,,"Q216936 Sean Combs [spotify, mb]","Q216936 Sean Combs [human, spotify, mb, via 'P. Diddy']",I Need a Girl (Part One) (2002),single-shortened,P. Diddy featuring Usher and Loon | P. Diddy,P. Diddy
trimmed:featured,Patti Austin with James Ingram,1,with James Ingram,,"Q238422 Patti Austin [spotify, mb]","Q238422 Patti Austin [human, spotify, mb, via 'Patti Austin']","Baby, Come to Me (1983)",single-shortened,Patti Austin with James Ingram | Patti Austin,Patti Austin
trimmed:featured,Patty Smyth with Don Henley,1,with Don Henley,,"Q444096 Patty Smyth [spotify, mb]","Q444096 Patty Smyth [human, spotify, mb, via 'Patty Smyth']",Sometimes Love Just Ain't Enough (1992),single-shortened,Patty Smyth with Don Henley | Patty Smyth,Patty Smyth
trimmed:featured,Paula Abdul with The Wild Pair,1,with The Wild Pair,,"Q185465 Paula Abdul [spotify, mb]","Q185465 Paula Abdul [human, spotify, mb, via 'Paula Abdul']",Opposites Attract (1990),single-shortened,Paula Abdul with The Wild Pair | Paula Abdul,Paula Abdul
trimmed:featured,Percy Faith featuring Felicia Sanders,1,featuring Felicia Sanders,,"Q712683 Percy Faith [spotify, mb]","Q712683 Percy Faith [human, spotify, mb, via 'Percy Faith']",The Song from Moulin Rouge (Where Is Your Heart) (1953),single-shortened,Percy Faith featuring Felicia Sanders | Percy Faith,Percy Faith
trimmed:featured,Pitbull feat. Christina Aguilera,1,feat. Christina Aguilera,,"Q187844 Pitbull [spotify, mb]","Q187844 Pitbull [human, spotify, mb, via 'Pitbull']",Feel This Moment (2013),single-shortened,Pitbull feat. Christina Aguilera | Pitbull,Pitbull
trimmed:featured,Pitbull feat. Kesha,1,feat. Kesha,,"Q187844 Pitbull [spotify, mb]","Q187844 Pitbull [human, spotify, mb, via 'Pitbull']",Timber (2014),single-shortened,Pitbull feat. Kesha | Pitbull,Pitbull
trimmed:featured,"Pitbull feat. Ne-Yo, Afrojack & Nayer",1,"feat. Ne-Yo, Afrojack & Nayer",,"Q187844 Pitbull [spotify, mb]","Q187844 Pitbull [human, spotify, mb, via 'Pitbull']",Give Me Everything (2011),single-shortened,"Pitbull feat. Ne-Yo, Afrojack & Nayer | Pitbull",Pitbull
trimmed:featured,Pop Smoke feat. Lil Baby & DaBaby,1,feat. Lil Baby & DaBaby,,"Q81698554 Pop Smoke [spotify, mb]","Q81698554 Pop Smoke [human, spotify, mb, via 'Pop Smoke']",For the Night (2021),single-shortened,Pop Smoke feat. Lil Baby & DaBaby | Pop Smoke,Pop Smoke
trimmed:featured,Post Malone feat. 21 Savage,1,feat. 21 Savage,,"Q21621919 Post Malone [spotify, mb]","Q21621919 Post Malone [human, spotify, mb, via 'Post Malone']",Rockstar (2018),single-shortened,Post Malone feat. 21 Savage | Post Malone,Post Malone
trimmed:featured,Post Malone feat. Doja Cat,1,feat. Doja Cat,,"Q21621919 Post Malone [spotify, mb]","Q21621919 Post Malone [human, spotify, mb, via 'Post Malone']",I Like You (A Happier Song) (2022),single-shortened,Post Malone feat. Doja Cat | Post Malone,Post Malone
trimmed:featured,Post Malone feat. Morgan Wallen,1,feat. Morgan Wallen,,"Q21621919 Post Malone [spotify, mb]","Q21621919 Post Malone [human, spotify, mb, via 'Post Malone']",I Had Some Help (2024),single-shortened,Post Malone feat. Morgan Wallen | Post Malone,Post Malone
trimmed:featured,Post Malone feat. Quavo,1,feat. Quavo,,"Q21621919 Post Malone [spotify, mb]","Q21621919 Post Malone [human, spotify, mb, via 'Post Malone']",Congratulations (2017),single-shortened,Post Malone feat. Quavo | Post Malone,Post Malone
trimmed:featured,Post Malone feat. Ty Dolla $ign,1,feat. Ty Dolla $ign,,"Q21621919 Post Malone [spotify, mb]","Q21621919 Post Malone [human, spotify, mb, via 'Post Malone']",Psycho (2018),single-shortened,Post Malone feat. Ty Dolla $ign | Post Malone,Post Malone
trimmed:featured,Post Malone feat. Young Thug,1,feat. Young Thug,,"Q21621919 Post Malone [spotify, mb]","Q21621919 Post Malone [human, spotify, mb, via 'Post Malone']",Goodbyes (2019),single-shortened,Post Malone feat. Young Thug | Post Malone,Post Malone
trimmed:featured,Puff Daddy featuring Mase,1,featuring Mase,,"Q216936 Sean Combs [spotify, mb]","Q216936 Sean Combs [human, spotify, mb, via 'Puff Daddy']",Can't Nobody Hold Me Down (1997),single-shortened,Puff Daddy featuring Mase | Puff Daddy,Puff Daddy
trimmed:featured,Puff Daddy featuring The Notorious B.I.G. and Mase,1,featuring The Notorious B.I.G. and Mase,,"Q216936 Sean Combs [spotify, mb]","Q216936 Sean Combs [human, spotify, mb, via 'Puff Daddy']",Been Around the World (1998),single-shortened,Puff Daddy featuring The Notorious B.I.G. and Mase | Puff Daddy,Puff Daddy
trimmed:featured,Rae Sremmurd feat. Gucci Mane,1,feat. Gucci Mane,,"Q18123226 Rae Sremmurd [spotify, mb]","Q18123226 Rae Sremmurd [musical group/musical duo, spotify, mb, via 'Rae Sremmurd']",Black Beatles (2017),single-shortened,Rae Sremmurd feat. Gucci Mane | Rae Sremmurd,Rae Sremmurd
trimmed:featured,Red Norvo feat. Mildred Bailey,1,feat. Mildred Bailey,,Q491814 Red Norvo [mb],"Q491814 Red Norvo [human, mb, via 'Red Norvo']",Says My Heart (1938),single-shortened,Red Norvo feat. Mildred Bailey | Red Norvo,Red Norvo
trimmed:featured,Rihanna feat. Calvin Harris,1,feat. Calvin Harris,,"Q36844 Rihanna [spotify, mb]","Q36844 Rihanna [human, spotify, mb, via 'Rihanna']",We Found Love (2012),single-shortened,Rihanna feat. Calvin Harris | Rihanna,Rihanna
trimmed:featured,Rihanna feat. Mikky Ekko,1,feat. Mikky Ekko,,"Q36844 Rihanna [spotify, mb]","Q36844 Rihanna [human, spotify, mb, via 'Rihanna']",Stay (2013),single-shortened,Rihanna feat. Mikky Ekko | Rihanna,Rihanna
trimmed:featured,Rihanna featuring Jay-Z,1,featuring Jay-Z,,"Q36844 Rihanna [spotify, mb]","Q36844 Rihanna [human, spotify, mb, via 'Rihanna']",Umbrella (2007),single-shortened,Rihanna featuring Jay-Z | Rihanna,Rihanna
trimmed:featured,Robin Thicke feat. T.I. & Pharrell,1,feat. T.I. & Pharrell,,"Q467423 Robin Thicke [spotify, mb]","Q467423 Robin Thicke [human, spotify, mb, via 'Robin Thicke']",Blurred Lines (2013),single-shortened,Robin Thicke feat. T.I. & Pharrell | Robin Thicke,Robin Thicke
trimmed:featured,Sammy Kaye with Don Cornell,1,with Don Cornell,,Q2217509 Sammy Kaye [mb],"Q2217509 Sammy Kaye [human, mb, via 'Sammy Kaye']",It Isn't Fair (1950),single-shortened,Sammy Kaye with Don Cornell | Sammy Kaye,Sammy Kaye
trimmed:featured,Saweetie feat. Doja Cat,1,feat. Doja Cat,,"Q50486592 Saweetie [spotify, mb]","Q50486592 Saweetie [human, spotify, mb, via 'Saweetie']",Best Friend (2021),single-shortened,Saweetie feat. Doja Cat | Saweetie,Saweetie
trimmed:featured,Shakira featuring Wyclef Jean,1,featuring Wyclef Jean,,"Q34424 Shakira [spotify, mb]","Q34424 Shakira [human, spotify, mb, via 'Shakira']",Hips Don't Lie (2006),single-shortened,Shakira featuring Wyclef Jean | Shakira,Shakira
trimmed:featured,Sia feat. Sean Paul,1,feat. Sean Paul,,"Q181484 Sia [spotify, mb]","Q181484 Sia [human, spotify, mb, via 'Sia']",Cheap Thrills (2016),single-shortened,Sia feat. Sean Paul | Sia,Sia
trimmed:featured,Skrillex & Diplo with Justin Bieber,1,with Justin Bieber,,"Q18153648 Jack Ü [spotify, mb]","Q18153648 Jack Ü [musical duo/male duo, spotify, mb, via 'Skrillex & Diplo']
Q19004 Skrillex [human, spotify, mb, via 'Skrillex']",Where Are U Now (2015),single-shortened,Skrillex & Diplo with Justin Bieber | Skrillex & Diplo | Skrillex,Skrillex & Diplo
trimmed:featured,Snoop Dogg featuring Pharrell,1,featuring Pharrell,,"Q6096 Snoop Dogg [spotify, mb]","Q6096 Snoop Dogg [human, spotify, mb, via 'Snoop Dogg']",Drop It Like It's Hot (2005),single-shortened,Snoop Dogg featuring Pharrell | Snoop Dogg,Snoop Dogg
trimmed:featured,Soulja Boy Tell 'Em featuring Sammie,1,featuring Sammie,,"Q313080 Soulja Boy [spotify, mb]","Q313080 Soulja Boy [human, spotify, mb, via ""Soulja Boy Tell 'Em""]",Kiss Me thru the Phone (2009),single-shortened,Soulja Boy Tell 'Em featuring Sammie | Soulja Boy Tell 'Em,Soulja Boy Tell 'Em
trimmed:featured,T-Pain featuring Yung Joc,1,featuring Yung Joc,,"Q221155 T-Pain [spotify, mb]","Q221155 T-Pain [human, spotify, mb, via 'T-Pain']",Buy U a Drank (Shawty Snappin') (2007),single-shortened,T-Pain featuring Yung Joc | T-Pain,T-Pain
trimmed:featured,T.I. featuring Justin Timberlake,1,featuring Justin Timberlake,,"Q214227 T.I. [spotify, mb]","Q214227 T.I. [human, spotify, mb, via 'T.I.']",Dead and Gone (2009),single-shortened,T.I. featuring Justin Timberlake | T.I.,T.I.
